time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.078512684208838e-06,1.95048473143291e-06,5.0229230651423915,0.0001664163329770929,0.0006682793759349437,0.0,-0.0002541054182645381,0.00011001541653175933,0.7639184443148344,-0.005826987637591081,0.007835193433418075,0.0,612.082295021792,612.5482784306222,612.6253990787768,612.2789291213344
0.12000000000000001,-5.0672108174354726e-05,1.2817330669962242e-05,5.091615809696484,6.283042114699304,0.0012897862846275032,0.0,-0.0014162437540059937,0.00018766474193511614,1.5251511137513216,-0.004528708285399653,0.011063244930034688,0.0,612.3755936541165,612.5674110722452,612.375460719258,612.4527750778351
0.18,-0.00019932430948443156,2.0047367415463904e-05,5.205833443703092,0.00021239052051935658,0.0030076958993889846,0.0,-0.003858665111883803,0.00010914899932203295,2.2809190320344706,0.0030301657296823736,0.021174020105250803,0.0,612.7651890867756,613.3657175147463,611.9844631725435,612.434213996255
0.23999999999999996,-0.0005712978487688249,4.049802280135207e-05,5.3651222436530634,0.0010653992852258654,0.0058944187379035284,0.0,-0.009079500508243195,0.0007248847284879124,3.0270467344884255,0.010884707244634811,0.033952274524892107,0.0,612.5052091380053,613.264561870519,612.1438241957886,612.6109106521258
0.3,-0.0013754153567682613,0.00013593683646951282,5.568788725943426,0.0025206322958206684,0.009553227000687947,0.0,-0.01840074572013985,0.002721040691775447,3.759727023722956,0.01956893811475649,0.046753562966187864,0.0,612.4651005975129,613.2262457955613,611.8374591442231,612.3540880422605
0.36000000000000004,-0.002879261121334663,0.0004069057958316172,5.815972545311635,0.0037578503528665763,0.01309975633060212,0.0,-0.032370729660353176,0.006539757798675879,4.477208743483644,0.021370544364197427,0.055061117135118534,0.0,612.7151788549231,613.2096717545635,612.1326018818163,612.2396550361483
0.4200000000000001,-0.005355939038833816,0.0009542605564427515,6.105683723689979,0.005103846931986844,0.016984424150781052,0.0,-0.05087141212484201,0.01194662043762389,5.1769278469857145,0.02318574765894803,0.06229649201892637,0.0,612.6169089815216,613.0482799518932,612.5209314931254,612.628746749759
0.48000000000000015,-0.009098541004469558,0.00187648086218892,6.436769718768325,0.006709267978787459,0.02330473951863965,0.0,-0.07497743309818194,0.01906976064893028,5.856029678269312,0.027196555010761014,0.07874104715873209,0.0,612.2081282325435,613.1879579979334,612.6502424431928,612.8885911914272
0.5400000000000001,-0.014511180495002813,0.003285838649469531,6.807910548467427,0.008626285094712749,0.02946289322692941,0.0,-0.10646934785390656,0.028249409342098717,6.511805352760057,0.02002428475396491,0.09071188822199576,0.0,612.3732014368945,613.0884530208971,612.7444423514845,612.3177814644539
0.6000000000000002,-0.022024078994369513,0.005307807808078429,7.21767356021169,0.01005108361396001,0.03588259854205855,0.0,-0.14498679234880402,0.03938447571238676,7.143197815941394,0.013510023839533217,0.10040536786728953,0.0,612.2474700409193,612.828829674404,613.0273711573274,612.6399509729952
0.6600000000000003,-0.03206048164947328,0.008037401840220209,7.664543501747345,0.010860132276958367,0.04307995322262759,0.0,-0.19066633267398186,0.05170444228405082,7.748513398553006,0.013429697265633412,0.11112971441007732,0.0,612.2448754317612,612.8888819289898,612.8027750591277,612.7978281780281
0.7200000000000003,-0.04506275218800114,0.01152654377836638,8.146939664545409,0.011679850963794536,0.050358529255729145,0.0,-0.24380685879193686,0.06469548664218454,8.327262029968782,0.013993903479159726,0.11857405008429461,0.0,612.4585379207673,612.9088278980221,612.9487304200851,612.9820943272313
0.7800000000000004,-0.06147811086077007,0.015814855433792074,8.663219216615596,0.01267927441145833,0.05953555807012911,0.0,-0.30467996242642664,0.07836084431408215,8.877854740805292,0.01733423879052345,0.1331514815650864,0.0,612.2959098677146,613.171956757829,612.7516957036686,612.9501104985799
0.8400000000000004,-0.08180506582136174,0.020948233392204623,9.211677557342266,0.014007445056138934,0.06774867882523505,0.0,-0.37397436528683936,0.09290673099414926,9.399845683308136,0.02213537262615586,0.13727282659417528,0.0,612.651317679086,612.9076098044983,612.635247130292,612.9205639537881
0.9000000000000005,-0.10650597558052124,0.026991858713001513,9.790576356077862,0.016353057752754196,0.07597542123325685,0.0,-0.45041950864449787,0.10884445948050983,9.892531346178727,0.03205010167112473,0.13660753324604116,0.0,612.6913058368315,612.6634658639903,612.3059292199682,612.8955656481194
0.9600000000000005,-0.13599752317801195,0.0340615304686342,10.398183528543447,0.020083903021421712,0.08417378315818791,0.0,-0.5335910564066866,0.12729742434653588,10.356815084470284,0.04562766254423021,0.13669944444526916,0.0,612.6138676655676,612.6309806884408,612.3488552622638,613.1564623323612
1.0200000000000005,-0.17066938347415064,0.04234279509449921,11.032796733480373,0.02448740898341928,0.09242344197351571,0.0,-0.6230404355994176,0.1493028949683493,10.792789427758848,0.058616914245025395,0.13817534872348813,0.0,612.5887441329986,612.6882803654449,612.3662453146857,613.1394910504413
1.0800000000000005,-0.2108850858917687,0.052055636814238304,11.692699348762874,0.02831141673471027,0.10072510468845941,0.0,-0.7183415080907891,0.17490941466037002,11.19989199375489,0.06360366253449116,0.1353073991843998,0.0,612.5081911036094,612.3493145158369,612.3448179750799,612.642971141149
1.1400000000000006,-0.256988833637779,0.06339804441153753,12.376220184556965,0.032549723425639776,0.10897687119759691,0.0,-0.8192511939197016,0.20365136793852376,11.580168567364003,0.06962072588330466,0.12993033606107585,0.0,612.733223396983,612.4244154645525,612.3056616090263,612.6655319979965
